voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.64881896972656;-4.4019645883963676e-7,-2.5922346935658425e-8,0.00007561246457044035,-0.019459614530205727;2.866407111667968e-10,-0.0000038001128359610448,0.000060222366300877184,0.003809252753853798;1.9217654312342347e-7,0.07644485682249069,-0.01723494380712509,-0.0026835836470127106;-0.04072468355298042,0.0000012327049034865922,-0.00011107335012638941,0.00028427771758288145
;-87.64884185791016;-4.4019682832185936e-7,-2.5922366475583658e-8,0.00007560940139228478,-0.019459618255496025;2.866408777002505e-10,-0.0000037999459436832694,0.0000601628162257839,0.0038058075588196516;1.9200228962290566e-7,0.07644489407539368,-0.01723494566977024,-0.0026835808530449867;-0.040720462799072266,0.0000012315972526266705,-0.00011107655154773965,0.00028502571512944996
;-87.64885711669922;-4.4019728306921024e-7,-2.592238779186573e-8,0.00007560633821412921,-0.019459623843431473;2.8664082218909925e-10,-0.000003799781552515924,0.00006007599949953146,0.0038006394170224667;1.9174100884811196e-7,0.07644490152597427,-0.01723494939506054,-0.002683572703972459;-0.04071624577045441,0.0000012299313993935357,-0.0001110795492422767,0.00028398423455655575
;-87.64888000488281;-4.401975388645951e-7,-2.5922407331790964e-8,0.00007560327503597364,-0.01945962756872177;2.8664082218909925e-10,-0.0000037996142054907978,0.00006001648216624744,0.0037971942219883204;1.915668974561413e-7,0.07644485682249069,-0.01723495125770569,-0.002683568513020873;-0.04071196913719177,0.0000012288239759072894,-0.00011108275793958455,0.00028470990946516395
;-87.64889526367188;-4.40197993611946e-7,-2.5922430424429876e-8,0.00007560021913377568,-0.01945962943136692;2.866409332114017e-10,-0.000003799450269070803,0.000059929705457761884,0.0037920253816992044;1.9130563089220232e-7,0.0764448493719101,-0.017234954982995987,-0.0026835596654564142;-0.04070769622921944,0.0000012271584637346677,-0.0001110858065658249,0.00028371624648571014
;-87.64891052246094;-4.4019839151587803e-7,-2.5922455293425628e-8,0.00007559715595562011,-0.019459635019302368;2.8664098872255295e-10,-0.0000037992831494193524,0.000059870199038414285,0.003788580885156989;1.9113151950023166e-7,0.07644486427307129,-0.017234960570931435,-0.002683555241674185;-0.040703512728214264,0.000001226050812874746,-0.0001110889861593023,0.00028440309688448906
;-87.64893341064453;-4.401987325763912e-7,-2.5922473056994022e-8,0.00007559409277746454,-0.019459636881947517;2.8664101647812856e-10,-0.0000037991160297679016,0.00005981069625704549,0.003785135457292199;1.9095736547569686e-7,0.07644485682249069,-0.017234960570931435,-0.0026835529133677483;-0.04069923609495163,0.000001224943275701662,-0.00011109215120086446,0.0002851641329471022
;-87.6489486694336;-4.401992157454515e-7,-2.5922497925989774e-8,0.00007559103687526658,-0.019459644332528114;2.866410997448554e-10,-0.0000037989514112268807,0.000059723945014411584,0.003779966849833727;1.9069599943577487e-7,0.0764448344707489,-0.017234966158866882,-0.0026835445314645767;-0.040695030242204666,0.0000012232776498422027,-0.00011109518527518958,0.0002840798406396061
;-87.64897155761719;-4.4019952838425525e-7,-2.5922521018628686e-8,0.00007558797369711101,-0.019459646195173264;2.86641127500431e-10,-0.00000379878429157543,0.000059664464060915634,0.0037765216547995806;1.9052185962209478e-7,0.0764448344707489,-0.01723496802151203,-0.00268353964202106;-0.04069080948829651,0.0000012221701126691187,-0.00011109835759270936,0.0002847921568900347
;-87.64898681640625;-4.4019998313160613e-7,-2.5922547663981277e-8,0.00007558491779491305,-0.01945965364575386;2.86641127500431e-10,-0.0000037986199004080845,0.00005957774192211218,0.0037713537458330393;1.9026074937755766e-7,0.0764448493719101,-0.01723497360944748,-0.002683532191440463;-0.040686581283807755,0.0000012205042594359838,-0.00011110143532278016,0.0002837696229107678
