voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.60135650634766;-4.7551895931974286e-7,-2.6324954660594813e-8,0.00007903046207502484,-0.019449174404144287;2.9153260361347577e-10,-0.0000035847024264512584,0.00020414587925188243,0.013112781569361687;6.652547313024115e-7,0.07198148965835571,-0.017227448523044586,-0.0027175694704055786;-0.04569890350103378,0.0000042677811507019214,-0.00011288054520264268,0.00028519838815554976
;-87.60137176513672;-4.755194709105126e-7,-2.6324984858661082e-8,0.00007902806100901216,-0.019449176266789436;2.9153277014692947e-10,-0.000003584550313462387,0.0002040753315668553,0.013109354302287102;6.650798241025768e-7,0.07198145985603333,-0.017227452248334885,-0.002717563882470131;-0.04569530487060547,0.0000042666915760491975,-0.00011288339010206982,0.0002852671896107495
;-87.60138702392578;-4.755201246098295e-7,-2.632501683308419e-8,0.00007902565266704187,-0.019449181854724884;2.915330477026856e-10,-0.0000035843982004735153,0.00020400485664140433,0.01310592982918024;6.649045189988101e-7,0.07198147475719452,-0.017227454110980034,-0.002717560390010476;-0.04569175839424133,0.000004265602910891175,-0.00011288615496596321,0.00028532883152365685
;-87.60140228271484;-4.7552063620059926e-7,-2.632504703115046e-8,0.0000790232588769868,-0.019449183717370033;2.9153313096941247e-10,-0.0000035842463148583192,0.00020393429440446198,0.01310250535607338;6.647296117989754e-7,0.07198143750429153,-0.017227457836270332,-0.002717555034905672;-0.04568816348910332,0.0000042645128814911,-0.00011288898531347513,0.00028537900652736425
;-87.6014175415039;-4.755212330564973e-7,-2.632507722921673e-8,0.00007902085053501651,-0.01944918930530548;2.9153329750286616e-10,-0.0000035840946566167986,0.00020386379037518054,0.013099078088998795;6.645547614425595e-7,0.07198143750429153,-0.01722745969891548,-0.0027175499126315117;-0.045684587210416794,0.000004263424216333078,-0.00011289177200524136,0.000285451824311167
;-87.60143280029297;-4.7552177306897647e-7,-2.6325107427283e-8,0.00007901844946900383,-0.01944919116795063;2.9153343628074424e-10,-0.0000035839432257489534,0.00020379330089781433,0.013095651753246784;6.64379797399306e-7,0.07198143750429153,-0.01722746342420578,-0.0027175473514944315;-0.04568108543753624,0.000004262335096427705,-0.0001128946096287109,0.0002854514168575406
;-87.60144805908203;-4.755222846597462e-7,-2.632513940170611e-8,0.00007901604112703353,-0.01944919489324093;2.9153365832534917e-10,-0.0000035837917948811082,0.00020372278231661767,0.013092227280139923;6.642044922955392e-7,0.07198141515254974,-0.01722746528685093,-0.002717541763558984;-0.045677512884140015,0.000004261245976522332,-0.00011289743997622281,0.0002855071797966957
;-87.6014633178711;-4.7552285309393483e-7,-2.632516782341554e-8,0.00007901364006102085,-0.019449196755886078;2.915338526143785e-10,-0.000003583640364013263,0.00020365229283925146,0.013088800944387913;6.640295850957045e-7,0.07198142260313034,-0.017227469012141228,-0.0027175366412848234;-0.045673906803131104,0.000004260155947122257,-0.00011290021939203143,0.00028562068473547697
;-87.60147857666016;-4.7552353521496116e-7,-2.6325205126909168e-8,0.00007901123171905056,-0.019449202343821526;2.915340469034078e-10,-0.0000035834891605190933,0.0002035818761214614,0.013085375539958477;6.638546778958698e-7,0.07198143005371094,-0.017227470874786377,-0.002717534312978387;-0.045670341700315475,0.000004259066372469533,-0.00011290306429145858,0.0002856860519386828
;-87.60149383544922;-4.755240468057309e-7,-2.63252335486186e-8,0.00007900883065303788,-0.019449204206466675;2.9153413017013463e-10,-0.0000035833375022775726,0.00020351143029984087,0.013081949204206467;6.63679827539454e-7,0.07198140025138855,-0.017227474600076675,-0.00271752942353487;-0.045666784048080444,0.000004257976797816809,-0.00011290590191492811,0.00028571387520059943
